<<<,,,,,,,
Investigation Time,,,,,,,
Variables:,Case number,Unique number assigned to each case,,,,,
GR0400550681,NWBKGB2L,AN,21.62,2.82,18.79,0.00,3
GR0400550684,UBSWCHZH80A,DD,17.59,1.41,0.00,16.18,0
GR0400550688,INGBNL2A,AN,57.85,2.06,55.79,0.00,7
GR0400550689,TGBATRIS,BV,0.88,0.88,0.00,0.00,0
GR0400550690,TGBATRIS,BV,0.86,0.86,0.00,0.00,0
GR0400550695,TGBATRIS,BV,0.88,0.88,0.00,0.00,0
GR0400550696,ARTEBEBB,DD,0.70,0.70,0.00,0.00,0
GR0400650001,CCFRFRPP,WX,1.91,1.91,0.00,0.00,0
GR0400650006,BEGODEHH,DD,0.70,0.70,0.00,0.00,0
GR0400650007,GHCBGHAC,NU,1.92,1.92,0.00,0.00,0
GR0400650013,NBPADEFF,NO,0.85,0.85,0.00,0.00,0
GR0400650015,AEIBUS33,BD,15.75,3.66,10.32,1.76,5
GR0400650017,BRASBRRJBNU,DD,1.86,1.86,0.00,0.00,0
GR0400650018,MCBKANCU,OX,20.83,8.36,8.22,4.25,4
GR0400650019,RBTTSRPA,KK,0.67,0.67,0.00,0.00,0
GR0400650020,NDEAFIHH,OX,8.81,0.88,7.93,0.00,3
GR0400650021,EFGBGRAA,OX,23.66,0.10,22.92,0.64,4
GR0400650023,RBTTSRPA,KK,0.67,0.67,0.00,0.00,0
GR0400650026,FNBBUS33,CS,9.57,5.54,4.03,0.00,2
GR0400650027,WAFAMAMC,KK,0.00,0.00,0.00,0.00,0
GR0400650028,WAFAMAMC,KK,0.00,0.00,0.00,0.00,0
GR0400650029,WAFAMAMC,KK,0.00,0.00,0.00,0.00,0
GR0400650030,WAFAMAMC,KK,0.00,0.00,0.00,0.00,0
GR0400650031,BNPAGFGX,NU,3.59,2.83,0.76,0.00,1
GR0400650033,MARLUS44,AN,16.69,4.38,11.20,1.11,6
GR0400650037,MRMDUS33,NU,3.61,0.89,2.73,0.00,1
GR0400650038,BECHCLRM,OX,6.75,1.18,5.57,0.00,3
GR0400650043,RBTTANCU,NO,54.64,9.61,45.04,0.00,8
GR0400650052,BNDCCAMMINT,NU,3.50,3.50,0.00,0.00,0
GR0400650055,CITCANCU,BC,0.65,0.65,0.00,0.00,0
GR0400650056,CITCANCU,BC,0.60,0.60,0.00,0.00,0
GR0400650057,CITCANCU,BC,0.62,0.62,0.00,0.00,0
GR0400650058,CITCANCU,BC,0.59,0.59,0.00,0.00,0
GR0400650059,CITCANCU,BC,1.55,1.55,0.00,0.00,0
GR0400650060,MELNUS3P,AN,16.63,5.57,11.07,0.00,5
GR0400650064,BOFAUS3N,WX,6.43,4.11,0.00,2.33,0
GR0400650069,ROYCCAT2,OX,2.38,1.26,1.12,0.00,2
GR0400650070,CITIGB2L,NO,0.50,0.50,0.00,0.00,0
GR0400650072,BKCHCNBJ910,OX,13.33,0.26,13.07,0.00,4
GR0400650075,BKNZNZ22,OX,6.39,1.72,4.66,0.00,3
GR0400650076,BKNZNZ22,NU,9.43,2.30,1.01,6.13,1
GR0400650077,BKNZNZ22,NU,9.42,2.21,1.01,6.20,1
GR0400650078,BKNZNZ22,NU,1.27,1.27,0.00,0.00,0
GR0400650079,BKNZNZ22,NU,1.27,1.27,0.00,0.00,0
GR0400650080,ANZBAU3M,NU,34.15,8.69,4.27,21.19,2
GR0400650081,ANZBAU3M,DD,0.12,0.12,0.00,0.00,0
GR0400650082,IBBKIDJA,OX,6.16,3.07,3.09,0.00,1
GR0400650083,HSBCHKHHHKH,NU,6.15,5.30,0.86,0.00,2
GR0400650084,FLORNL2ATAR,NU,2.27,2.27,0.00,0.00,0
GR0400650085,CENAIDJA,NU,2.31,2.31,0.00,0.00,0
GR0400650090,DEUTDEFF,OX,1.22,1.22,0.00,0.00,0
GR0400650091,DEUTDEFF,OX,27.17,8.99,5.06,13.12,7
GR0400650093,SOGEFRPP,BD,1.11,1.11,0.00,0.00,0
GR0400650101,RABONL2U,OX,42.10,8.48,0.00,33.62,0
GR0400650106,ANZBFJFX,OX,35.20,1.85,15.29,18.06,4
GR0400650109,BOFCHKHH,OX,9.25,1.16,8.08,0.00,7
GR0400650112,RABONL2U,OX,8.17,3.81,0.00,4.36,0
GR0400650113,TOTAPTPL,DD,0.02,0.02,0.00,0.00,0
GR0400650116,NWBKGB2L,WX,17.34,4.94,12.39,0.00,4
GR0400650118,ROYCCAT2,NO,6.13,4.83,1.29,0.00,2
GR0400650123,BKTRUS33,CT,35.23,23.39,0.00,11.85,0
GR0400650126,PNBPUS3NNYC,DD,1.30,1.30,0.00,0.00,0
GR0400650127,SBZAZAJJ,BC,0.01,0.01,0.00,0.00,0
GR0400650129,SBZAZAJJ,BC,0.01,0.01,0.00,0.00,0
GR0400650130,SBZAZAJJ,BC,0.01,0.01,0.00,0.00,0
GR0400650131,SBZAZAJJ,BC,0.01,0.01,0.00,0.00,0
GR0400650132,CENAIDJA,OX,1.17,0.99,0.18,0.00,1
GR0400650133,RABONL2U,DD,1.33,0.19,0.00,1.13,0
GR0400650138,HLBBMYKL,OX,1.30,0.20,1.10,0.00,1
GR0400650140,CENAIDJA,NU,2.29,2.29,0.00,0.00,0
GR0400650162,AKBKGB2L,BC,0.07,0.07,0.00,0.00,0
GR0400650232,BKASTHBK,KK,0.04,0.04,0.00,0.00,0
GR0400650233,BKASTHBK,KK,0.05,0.05,0.00,0.00,0
GR0400650236,BKCHCNBJ,XX,0.07,0.06,0.00,0.01,0
GR0400650237,SMBCJPJT,NU,1.21,0.48,0.72,0.00,1
GR0400650238,SPRONO22,DD,0.06,0.06,0.00,0.00,0
GR0400650239,BEIIIDJA,OX,28.10,0.09,9.96,18.06,3
GR0400650242,INGBNL2A,NO,0.05,0.05,0.00,0.00,0
GR0400650246,KCHUJPJY,KK,0.06,0.06,0.00,0.00,0
GR0400650285,SMBCJPJT,OX,1.05,0.15,0.90,0.00,1
GR0400650286,MIDLGB22,NU,13.15,3.30,1.91,7.93,1
GR0400650287,BOTKJPJT,OX,7.10,1.15,5.95,0.00,2
GR0400650296,AFDBCIAB,NO,16.14,0.98,0.09,15.06,1
GR0400650301,BKTWTWTP106,KK,0.06,0.06,0.00,0.00,0
GR0400650303,BFTVVNVX,OX,2.21,1.26,0.95,0.00,1
GR0400650304,DEUTSGSG,NU,6.02,4.15,1.88,0.00,3
GR0400650305,NDEAPLP2,AN,2.96,0.82,2.15,0.00,1
GR0400650306,KOBBCSBG,BC,49.14,4.25,0.00,44.89,0
GR0400650307,JVBABE22,XX,0.13,0.13,0.00,0.00,0
GR0400650310,BAIPPTPL,WX,1.22,1.22,0.00,0.00,0
GR0400650311,TFBSTHBK,CS,2.01,2.01,0.00,0.00,0
GR0400650312,RHBBMYKL,KK,0.04,0.04,0.00,0.00,0
GR0400650316,BKASTHBK,KK,0.03,0.03,0.00,0.00,0
GR0400650318,DEUTDEFF,BC,0.97,0.74,0.00,0.23,0
GR0400650324,OWHBDEFF,DD,0.00,0.00,0.00,0.00,0
GR0400650326,BKCHCNBJ21A,KK,0.03,0.03,0.00,0.00,0
GR0400650327,BKKBTHBK,OX,16.00,3.71,12.30,0.00,2
GR0400650330,BNPAFRPP,NO,10.21,6.93,0.00,3.28,0
GR0400650332,LOYDGB2L,NU,55.23,8.27,8.04,38.93,4
GR0400650342,BKCHCNBJ73A,OX,13.02,1.05,11.97,0.00,3
GR0400650343,BEGODEHH,NO,6.15,5.24,0.91,0.00,2
GR0400650349,PBBEMYKL,OX,36.16,6.33,29.84,0.00,8
GR0400650366,HBUANL2R,CT,9.10,2.50,0.68,5.91,1
GR0400650367,LOYDGB2L,AN,15.03,3.00,12.02,0.00,3
GR0400650369,KASANL2A,OX,9.15,1.82,7.32,0.00,2
GR0400650370,CITIGB2L,AN,9.99,6.61,2.08,1.31,1
GR0400650373,CITIFRPPPLC,NO,0.16,0.16,0.00,0.00,0
GR0400650378,NWBKGB2L,AN,0.93,0.93,0.00,0.00,0
GR0400650380,GEBABEBB,AN,8.00,1.70,6.29,0.00,2
GR0400650381,CCBPFRPPPAR,NO,20.16,2.28,12.05,5.83,3
GR0400650382,CITIGB2L,DD,1.12,1.12,0.00,0.00,0
GR0400650385,CENAIDJA,KK,16.93,1.79,0.00,15.14,0
GR0400650386,CENAIDJA,KK,15.15,0.19,0.00,14.97,0
GR0400650389,CHASNL2X,OX,1.13,1.13,0.00,0.00,0
GR0400650390,DHBKHKHH,OX,0.19,0.19,0.00,0.00,0
GR0400650393,POSBHUHB,OX,13.00,3.87,9.12,0.00,2
GR0400650411,RABONL2U,OX,7.09,1.13,0.00,5.96,0
GR0400650412,DEUTDEFF,BV,9.09,3.43,0.00,5.65,0
GR0400650413,DEUTDEFF,AN,16.08,8.76,1.98,5.34,1
GR0400650419,DEUTDEFF,DD,7.19,0.05,0.00,7.14,0
GR0400650425,CENAIDJA,KK,0.00,0.00,0.00,0.00,0
GR0400650431,CENAIDJA,KK,0.00,0.00,0.00,0.00,0
GR0400650433,CENAIDJA,OX,19.94,4.57,0.92,14.45,1
GR0400650435,UBININBB,AN,0.13,0.13,0.00,0.00,0
GR0400650436,BGLLLULL,AN,57.11,6.13,29.68,21.30,8
GR0400650447,RZBJCSBG,NU,35.91,2.99,0.00,32.93,0
GR0400650448,BCOMPTPL,NU,29.02,3.05,0.00,25.97,0
GR0400650450,BBRUBEBB010,OX,2.02,2.02,0.00,0.00,0
GR0400650451,CENAIDJA,KK,15.08,0.20,0.00,14.89,0
GR0400650452,CENAIDJA,KK,15.09,0.19,0.00,14.89,0
GR0400650453,BCMAMAMC,OX,53.99,5.15,48.84,0.00,8
GR0400650458,RABONL2U,AN,31.00,5.07,12.92,13.01,4
GR0400650459,BARCGB22,AN,42.90,5.61,37.29,0.00,8
GR0400650461,DRESDEFF,WX,7.86,1.03,5.11,1.72,2
GR0400650465,BSAMLKLX,KK,0.01,0.01,0.00,0.00,0
GR0400650469,OKHBHUHB,DD,1.92,1.15,0.00,0.76,0
GR0400650470,YAPITRIS,BC,0.03,0.03,0.00,0.00,0
GR0400650472,DRESDEFF,OX,1.93,0.38,0.70,0.84,1
GR0400650474,DRESDEFF,OX,1.93,0.40,0.69,0.84,1
GR0400650475,DABADKKK,NU,1.13,0.09,1.03,0.00,1
GR0400650477,KCOOKENA,WX,8.90,3.13,5.77,0.00,2
GR0400650478,INGBNL2A,AN,7.03,3.88,3.15,0.00,1
GR0400650489,PARBFRPP,OX,5.91,1.94,0.00,3.97,0
GR0400650490,DEUTTWTP,OX,30.06,0.24,29.82,0.00,8
GR0400650510,MIDLGB22,CT,0.91,0.91,0.00,0.00,0
GR0400650518,CRLYFRPP,DD,0.04,0.04,0.00,0.00,0
GR0400650519,CRLYFRPP,DD,1.04,1.04,0.00,0.00,0
GR0400650520,RBTTSRPA,OX,1.82,0.77,1.05,0.00,1
GR0400650523,TRMEZWHA,WX,2.78,1.46,0.00,1.32,0
GR0400650531,AKBKGB2L,BC,0.00,0,0,0,0
